desc_va	opcode	format	handler	cycles	flags	mnemonic
005735e0	080	1	4c2490	4	c	ldob
00573604	082	1	4c2100	2	c	stob
00573628	084	1	4c13e0	3	8	bx
0057364c	085	1	4c1290	5	c	balx
00573670	086	1	4c14c0	14	8	callx
00573694	088	1	4c23f0	4	c	ldos
005736b8	08a	1	4c2080	2	c	stos
005736dc	08c	1	4c1d40	1	c	lda
00573700	090	1	4c2360	4	c	ld
00573724	092	1	4c2140	2	c	st
00573748	098	1	4c22e0	5	c	ldl
0057376c	09a	1	4c1fc0	3	c	stl
00573790	0a0	1	4c2240	6	c	ldt
005737b4	0a2	1	4c1f10	4	c	stt
005737d8	0b0	1	4c2180	7	c	ldq
005737fc	0b2	1	4c1e40	5	c	stq
00573820	0c0	1	4c2440	4	c	ldib
00573844	0c2	1	4c20c0	2	c	stib
00573868	0c8	1	4c23a0	4	c	ldis
0057388c	0ca	1	4c2040	2	c	stis
005738b0	580	0	4c1d20	2	7	notbit
005738d4	583	0	4c1d00	2	7	setbit
005738f8	58c	0	4c1cd0	2	7	clrbit
0057391c	581	0	4c1a00	1	7	and
00573940	582	0	4c1960	1	7	andnot
00573964	584	0	4c1940	1	7	notand
00573988	586	0	4c1920	1	7	xor
005739ac	587	0	4c19e0	1	7	or
005739d0	589	0	4c1900	1	7	xnor
005739f4	58b	0	4c19c0	1	7	ornot
00573a18	58d	0	4c19a0	1	7	notor
00573a3c	58f	0	4c1c90	2	7	alterbit
00573a60	58a	0	4c1980	1	5	not
00573a84	590	0	4c1c20	1	7	addo
00573aa8	591	0	4c1c40	1	7	addi
00573acc	592	0	4c1c00	1	7	subo
00573af0	593	0	4c1be0	1	7	subi
00573b14	598	0	4c09d0	1	7	shro
00573b38	59a	0	4c0990	1	7	shrdi
00573b5c	59b	0	4c09f0	1	7	shri
00573b80	59c	0	4c0a10	1	7	shlo
00573ba4	59d	0	4c0970	1	7	rotate
00573bc8	59e	0	4c0a30	1	7	shli
00573bec	5a0	0	4c1240	1	3	cmpo
00573c10	5a1	0	4c11f0	1	3	cmpi
00573c34	5a2	0	4c1190	1	3	concmpo
00573c58	5a3	0	4c11c0	1	3	concmpi
00573c7c	5a4	0	4c1130	2	7	cmpinco
