00400000	MZ
00400118	PE
00400210	.text
00400238	.rdata
00400260	.data
00400288	.rsrc
004f9c30	QSUVWj
004f9d00	QSUVWj
0050a500	 deflate 1.2.2 Copyright 1995-2004 Jean-loup Gailly 
0050a5b8	hello, hello!
0050a5c8	hello
0050b728	 inflate 1.2.2 Copyright 1995-2004 Mark Adler 
0050c2b8	 unzip 0.22 Copyright 1998-2003 Gilles Vollant - http://www.winimage.com/zLibDll
0050c310	 zip 0.22 Copyright 1998-2003 Gilles Vollant - http://www.winimage.com/zLibDll
0050c998	Unknown exception
0050c9b8	bad allocation
0050c9c8	Visual C++ CRT: Not enough memory to complete call to strerror.
0050ca08	CorExitProcess
0050ca18	mscoree.dll
0050ca40	cmd.exe
0050ca48	COMSPEC
0050cae8	am/pm
0050caf0	LC_TIME
0050caf8	LC_NUMERIC
0050cb04	LC_MONETARY
0050cb10	LC_CTYPE
0050cb1c	LC_COLLATE
0050cb28	LC_ALL
0050cc04	runtime error 
0050cc2c	TLOSS error\r\n
0050cc48	SING error\r\n
0050cc64	DOMAIN error\r\n
0050cc88	R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
0050ce78	R6032\r\n- not enough space for locale information\r\n
0050cee0	R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
0050cfa8	R6030\r\n- CRT not initialized\r\n
0050cfe8	R6028\r\n- unable to initialize heap\r\n
0050d038	R6027\r\n- not enough space for lowio initialization\r\n
0050d0a8	R6026\r\n- not enough space for stdio initialization\r\n
0050d118	R6025\r\n- pure virtual function call\r\n
0050d168	R6024\r\n- not enough space for _onexit/atexit table\r\n
0050d1d8	R6019\r\n- unable to open console device\r\n
0050d230	R6018\r\n- unexpected heap error\r\n
0050d278	R6017\r\n- unexpected multithread lock error\r\n
0050d2d8	R6016\r\n- not enough space for thread data\r\n
0050d330	R6010\r\n- abort() has been called\r\n
0050d378	R6009\r\n- not enough space for environment\r\n
0050d3d0	R6008\r\n- not enough space for arguments\r\n
0050d428	R6002\r\n- floating point support not loaded\r\n
0050d5c4	Runtime Error!\n\nProgram: 
0050d5f8	(null)
0050d668	UTF-8
0050d670	UTF-16LE
0050d67c	UNICODE
0050d6a4	HH:mm:ss
0050d6b8	dddd, MMMM dd, yyyy
0050d6e0	MM/dd/yy
0050d704	December
0050d718	November
0050d72c	October
0050d73c	September
0050d750	August
0050d760	July
0050d76c	June
0050d778	April
0050d784	March
0050d790	February
0050d7a4	January
0050d814	Saturday
0050d828	Friday
0050d838	Thursday
0050d84c	Wednesday
0050d860	Tuesday
0050d870	Monday
0050d880	Sunday
0050d8c8	HH:mm:ss
0050d8d4	dddd, MMMM dd, yyyy
0050d8e8	MM/dd/yy
0050d8fc	December
0050d908	November
0050d914	October
0050d91c	September
0050d928	August
0050d940	April
0050d948	March
0050d950	February
0050d95c	January
0050d994	Saturday
0050d9a0	Friday
0050d9a8	Thursday
0050d9b4	Wednesday
0050d9c0	Tuesday
0050d9c8	Monday
0050d9d0	Sunday
0050d9f4	KERNEL32.DLL
0050da10	FlsFree
0050da18	FlsSetValue
0050da24	FlsGetValue
0050da30	FlsAlloc
0050da40	Illegal byte sequence
0050da58	Directory not empty
0050da6c	Function not implemented
0050da88	No locks available
0050da9c	Filename too long
0050dab0	Resource deadlock avoided
0050dacc	Result too large
0050dae0	Domain error
0050daf0	Broken pipe
0050dafc	Too many links
0050db0c	Read-only file system
0050db24	Invalid seek
0050db34	No space left on device
0050db4c	File too large
0050db5c	Inappropriate I/O control operation
0050db80	Too many open files
0050db94	Too many open files in system
0050dbb4	Invalid argument
0050dbc8	Is a directory
0050dbd8	Not a directory
0050dbe8	No such device
0050dbf8	Improper link
0050dc08	File exists
0050dc14	Resource device
0050dc24	Unknown error
0050dc34	Bad address
0050dc40	Permission denied
0050dc54	Not enough space
0050dc68	Resource temporarily unavailable
0050dc8c	No child processes
0050dca0	Bad file descriptor
0050dcb4	Exec format error
0050dcc8	Arg list too long
0050dcdc	No such device or address
0050dcf8	Input/output error
0050dd0c	Interrupted function call
0050dd28	No such process
0050dd38	No such file or directory
0050dd54	Operation not permitted
0050dd6c	No error
0050dde0	exp10
0050dde8	_nextafter
0050de20	SunMonTueWedThuFriSat
0050de38	JanFebMarAprMayJunJulAugSepOctNovDec
0050e690	united-states
0050e6a0	united-kingdom
0050e6b0	trinidad & tobago
0050e6c4	south-korea
0050e6d0	south-africa
0050e6e0	south korea
0050e6ec	south africa
0050e6fc	slovak
0050e704	puerto-rico
0050e710	pr-china
0050e71c	pr china
0050e72c	new-zealand
0050e738	hong-kong
0050e744	holland
0050e74c	great britain
0050e75c	england
0050e76c	china
0050e774	britain
0050e77c	america
0050e790	swiss
0050e798	swedish-finland
0050e7a8	spanish-venezuela
0050e7bc	spanish-uruguay
0050e7cc	spanish-puerto rico
0050e7e0	spanish-peru
0050e7f0	spanish-paraguay
0050e804	spanish-panama
0050e814	spanish-nicaragua
0050e828	spanish-modern
0050e838	spanish-mexican
0050e848	spanish-honduras
0050e85c	spanish-guatemala
0050e870	spanish-el salvador
0050e884	spanish-ecuador
0050e894	spanish-dominican republic
0050e8b0	spanish-costa rica
0050e8c4	spanish-colombia
0050e8d8	spanish-chile
0050e8e8	spanish-bolivia
0050e8f8	spanish-argentina
0050e90c	portuguese-brazilian
0050e924	norwegian-nynorsk
0050e938	norwegian-bokmal
0050e94c	norwegian
0050e958	italian-swiss
0050e968	irish-english
0050e978	german-swiss
0050e988	german-luxembourg
0050e99c	german-lichtenstein
0050e9b0	german-austrian
0050e9c0	french-swiss
0050e9d0	french-luxembourg
0050e9e4	french-canadian
0050e9f4	french-belgian
0050ea04	english-usa
0050ea10	english-us
0050ea1c	english-uk
0050ea28	english-trinidad y tobago
0050ea44	english-south africa
0050ea5c	english-nz
0050ea68	english-jamaica
0050ea78	english-ire
0050ea84	english-caribbean
0050ea98	english-can
0050eaa4	english-belize
0050eab4	english-aus
0050eac0	english-american
0050ead4	dutch-belgian
0050eae4	chinese-traditional
0050eaf8	chinese-singapore
0050eb0c	chinese-simplified
0050eb20	chinese-hongkong
0050eb34	chinese
0050eb44	canadian
0050eb50	belgian
0050eb58	australian
0050eb64	american-english
0050eb78	american english
0050eb8c	american
0050ee74	Norwegian-Nynorsk
0050ef30	GetProcessWindowStation
0050ef48	GetUserObjectInformationW
0050ef64	GetLastActivePopup
0050ef78	GetActiveWindow
0050ef88	MessageBoxW
0050ef94	USER32.DLL
0050efac	 Complete Object Locator'
0050efc8	 Class Hierarchy Descriptor'
0050efe8	 Base Class Array'
0050effc	 Base Class Descriptor at (
0050f018	 Type Descriptor'
0050f02c	`local static thread guard'
0050f048	`managed vector copy constructor iterator'
0050f074	`vector vbase copy constructor iterator'
0050f0a0	`vector copy constructor iterator'
0050f0c4	`dynamic atexit destructor for '
0050f0e8	`dynamic initializer for '
0050f104	`eh vector vbase copy constructor iterator'
0050f130	`eh vector copy constructor iterator'
0050f158	`managed vector destructor iterator'
0050f180	`managed vector constructor iterator'
0050f1a8	`placement delete[] closure'
0050f1c8	`placement delete closure'
0050f1e4	`omni callsig'
0050f1f4	 delete[]
0050f200	 new[]
0050f208	`local vftable constructor closure'
0050f22c	`local vftable'
0050f23c	`RTTI
0050f248	`udt returning'
0050f258	`copy constructor closure'
0050f274	`eh vector vbase constructor iterator'
0050f29c	`eh vector destructor iterator'
0050f2bc	`eh vector constructor iterator'
0050f2e0	`virtual displacement map'
0050f2fc	`vector vbase constructor iterator'
0050f320	`vector destructor iterator'
0050f340	`vector constructor iterator'
0050f360	`scalar deleting destructor'
0050f380	`default constructor closure'
0050f3a0	`vector deleting destructor'
0050f3c0	`vbase destructor'
0050f3d4	`string'
0050f3e0	`local static guard'
0050f3f8	`typeof'
0050f404	`vcall'
0050f40c	`vbtable'
0050f418	`vftable'
0050f48c	operator
0050f4a8	 delete
0050f4b8	__unaligned
0050f4c4	__restrict
0050f4d0	__ptr64
0050f4d8	__eabi
0050f4e0	__clrcall
0050f4ec	__fastcall
0050f4f8	__thiscall
0050f504	__stdcall
0050f510	__pascal
0050f51c	__cdecl
0050f524	__based(
0050f714	e+000
0050f71c	SystemRoot
0050f728	CONOUT$
0050f738	1#QNAN
0050f740	1#INF
0050f748	1#IND
0050f750	1#SNAN
0050f7bc	Dir%d
0050f7c4	.\Emulator.ini
0050f7dc	RomDirs
0050f7e4	%s\%s.zip
0050f7f0	%s\%s\%s
0050f800	Unable to load. FileName: %s Size: %d CRC: %X
0050f830	There are missing files. Load aborted
0050f858	.\STATES\%s%d.sta
0050f86c	.\STATES
0050f878	list<T> too long
0050f88c	FullMode
0050f898	Renderer
0050f8a4	Sound
0050f8ac	AutoFull
0050f8b8	Filter
0050f8c8	Input
0050f8d4	Press a button or key
0050f8f4	Romset
0050f8fc	System
0050f904	About...
0050f910	SEGA Model 2 Emulator (MultiCPU). v1.1a.\n(C) 2014 by ElSemi.\nnebula.emulatronia.com
0050f964	http://nebula.emulatronia.com
0050f98c	Frameskip
0050f998	MYWIN
0050f9a0	Model 2 Emulator
0050f9b4	Unable to find driver for %s
0050f9d4	Unable to find machine %s
0050f9f0	Warning
0050f9f8	XInput
0050fa00	Video_DrawText
0050fa10	Video_CreateFont
0050fa24	Video_ReleaseFont
0050fa38	Video_DrawTextWithFont
0050fa50	Video_CreateSurfaceFromFile
0050fa6c	Video_DrawSurface
0050fa80	Video_ReleaseSurface
0050fa98	Video_GetScreenSize
0050faac	Romset_ReadByte
0050fabc	Romset_ReadWord
0050facc	Romset_ReadDWord
0050fae0	Romset_PatchByte
0050faf4	Romset_PatchWord
0050fb08	Romset_PatchDWord
0050fb1c	Input_IsKeyPressed
0050fb30	Unable to initialize video subsystem
0050fb58	Unable to initialize audio subsystem
0050fb80	Unable to initialize input subsystem
0050fba8	Unable to initialize emulation
0050fbc8	FullScreenWidth
0050fbd8	FullScreenHeight
0050fbf0	.\emulator.ini
0050fc08	FPS: %.02lf (%.02lfms) %s%s A %.02lf F %d
0050fc34	%s: %.02lfms
0050fc44	invalid map/set<T> iterator
0050fc60	map/set<T> too long
0050fc94	UseRawInput
0050fca0	USER32.DLL
0050fcac	RegisterRawInputDevices
0050fcc4	GetRawInputDeviceList
0050fcdc	GetRawInputDeviceInfoA
0050fcf4	GetRawInputData
0050fd08	RAWINPUT is not available in your system (WinXP or higher required). Reverting to DirectInput\n
0050fd68	EnableFF
0050fd74	RDP_MOU
0050fd7c	RawDevP1
0050fd88	RawDevP2
0050fd94	Savestate %d selected
0050fdac	State %d Loaded
0050fdbc	Loading Savestate %d. Confirm...
0050fde0	State Saved
0050fdec	Saving to Savestate %d. Confirm...
0050fe10	.\SHOTS\%s%03d.bmp
0050fe24	Frameskip %d
0050fe34	Frameskip Auto
0050fe48	 (Inv)
0050fe50	Analog Joy %d %s%s
0050fe6c	Right
0050fe80	Left 2
0050fe88	Right 2
0050fe98	Down 2
0050fea0	Left 3
0050fea8	Right 3
0050feb8	Down 3
0050fec0	Left 4
0050fec8	Right 4
0050fed8	Down 4
0050fee0	Joy %d Button %d
0050fef4	Joy %d %s
0050ff00	.\CFG
0050ff08	.\CFG\%s.input
0050ff1c	FE_CENTERING_Coefficient
0050ff38	FE_CENTERING_Saturation
0050ff50	FE_CENTERING_Deadband
0050ff6c	FE_CENTERING_Gain
0050ff80	FE_CLUTCH_Coefficient
0050ff98	FE_CLUTCH_Gain
0050ffa8	FE_RIGHT_Magnitude
0050ffbc	FE_RIGHT_Gain
0050ffcc	FE_LEFT_Magnitude
0050ffe0	FE_LEFT_Gain
0050fff0	FE_UNCENTERING_Magnitude
0051000c	FE_UNCENTERING_Offset
00510024	FE_UNCENTERING_Phase
0051003c	FE_UNCENTERING_Period
00510054	FE_UNCENTERING_Gain
005100bc	xinput1_3.dll
005100d0	XINPUT is not installed. Install latest DirectX or disable XINPUT. Emulator will crash\n
00510128	XInputGetState
00510138	XInputSetState
00510148	XInputGetCapabilities
00510160	Analog Joy %d %s %s
00510184	L.Shoulder
00510190	R.Shoulder
0051019c	L.Trig
005101a4	R.Trig
005101ac	L.Stick
005101b4	R.Stick
005101bc	Start
005101cc	Gamepad %d
005101d8	D-Pad Horizontal
005101ec	D-Pad Vertical
005101fc	Left Stick Horizontal
00510214	Left Stick Vertical
00510228	Right Stick Horizontal
00510240	Right Stick Vertical
00510258	Left Trigger
00510268	Right Trigger
005102cc	Script compiling error
005102e4	Options
005102ec	values
005102fc	runfunc
00510304	changefunc
00510310	SCRIPTS\
00510328	LUA_PATH=.\?.lua;!\lua\?.lua;!\lua\?\init.lua;!\?.lua;!\?\init.lua;.\SCRIPTS\?.lua;..\SCRIPTS\?.lua
005103a8	value
005103b8	PostDraw
005103c4	Script PostDraw error
005103dc	Frame
005103e4	Script Frame error
005103f8	Reset
00510400	Script Reset error
0051041c	Script Init error
00510434	invalid string position
0051044c	string too long
00510480	struct VS_IN                                                 \n{                                                            \n   float4   Pos             : POSITION;                      \n   float2   Tex             : TEXCOORD0;                     \n};                                                           \n                                                             \nstruct VS_OUT                                                \n{                                                            \n   float4 Position        : POSITION;                        \n   float2 TexCoord0       : TEXCOORD0;                       \n};                                                           \n                                                             \nuniform float4 BlendVal    : register(c1);                   \n                                                             \nsampler        Texture : register(s0);					      \nsampler        Texture2 : register(s1);					      \n                                                             \nVS_OUT VShader( VS_IN In )                              \n{                                                            \n   VS_OUT Out;                                               \n   Out.Position.x  = (In.Pos.x);						          \n   Out.Position.y  = (In.Pos.y);								  \n   Out.Position.z  = (In.Pos.z);                                \n   Out.Position.w  = (In.Pos.w);                                \n   Out.TexCoord0.x = In.Tex.x;				                  \n   Out.TexCoord0.y = In.Tex.y;							      \n   return Out;                                               \n}                                                            \n                                                             \nfloat4 PShader( VS_OUT In ) : COLOR0                     \n{                                                            \n    float4 T = tex2D( Texture, In.TexCoord0 );               \n    return T;					                              \n}                                                            \nfloat4 PShader2( VS_OUT In ) : COLOR0                     \n{                                                            \n    float4 T = tex2D( Texture, In.TexCoord0 );               \n    float4 T2 = tex2D( Texture2, In.TexCoord0 );               \n	 if(T.a!=T2.a)\n		T=T2;\n	 T.a=T2.a;\n    return T;					                              \n}                                                            \n
00510de8	WideScreenWindow
00510dfc	Unable to find appropiate zbuffer format
00510e30	ForceSync
00510e3c	SoftwareVertexProcessing
00510e58	FAILED %X. D3DFMT %d DEPTH %d
00510e78	ForceManaged
00510e88	Arial
00510e90	DrawCross
00510e9c	.\SHOTS
00510ea4	ps.2.0
00510eac	PShader
00510eb4	Information
00510ec0	Nothing to configure
00510ed8	NVDATA
00512100	$Lua: Lua 5.1.4 Copyright (C) 1994-2008 Lua.org, PUC-Rio $\n$Authors: R. Ierusalimschy, L. H. de Figueiredo & W. Celes $\n$URL: www.lua.org $\n
00515c30	no calling environment
00515c48	no value
00515c58	bad argument #%d (%s)
00515c7c	calling '%s' on bad self (%s)
00515c9c	bad argument #%d to '%s' (%s)
00515cbc	%s expected, got %s
00515cd4	%s:%d: 
00515cdc	invalid option '%s'
00515cf0	stack overflow (%s)
00515d04	value expected
00515d14	_LOADED
00515d1c	name conflict for module '%s'
00515d40	cannot %s %s: %s
00515d54	=stdin
00515d64	reopen
00515d74	PANIC: unprotected error in call to Lua API (%s)\n
00515da8	yield
00515db8	status
00515dc0	resume
00515dc8	create
00515dd8	normal
00515de0	suspended
00515dec	running
00515df4	xpcall
00515dfc	unpack
00515e0c	tonumber
00515e18	setmetatable
00515e28	setfenv
00515e30	select
00515e38	rawset
00515e40	rawget
00515e48	rawequal
00515e54	print
00515e5c	pcall
00515e6c	loadstring
00515e80	loadfile
00515e8c	getmetatable
00515e9c	getfenv
00515ea4	gcinfo
00515eac	error
00515eb4	dofile
00515ebc	collectgarbage
00515ecc	assert
00515ed4	setstepmul
00515ee0	setpause
00515ef4	count
00515efc	collect
00515f04	restart
00515f14	tostring
00515f20	'tostring' must return a string to 'print'
00515f50	base out of range
00515f64	__metatable
00515f70	nil or table expected
00515f88	cannot change a protected metatable
00515fac	level must be non-negative
00515fc8	invalid level
00515fdc	no function environment for tail call at level %d
